,Unnamed: 0,text,embeddings,distances
13,13,"11 January – Scientists report the discovery of Tyrannosaurus mcraeensis, an older species of Tyrannosaurus that lived 5-7 million years before Tyrannosaurus rex, and which may be fundamentally important to the evolution of the species.","[-0.01500258 -0.0263404  -0.00508993 ...  0.00771761 -0.00743766
 -0.01602056]",0.2505186535065521
23,23,12 January – An AI-based study shows for the first time that fingerprints from different fingers of the same person share strong detectable similarities.,"[-0.00580537  0.01024516 -0.00323913 ...  0.00824627  0.00217207
 -0.0009978 ]",0.2508000233178057
201,201,8 October – Researchers at REMspace achieve the first communication between two individuals in lucid dreams using specially designed equipments.,"[-0.00715532  0.00333115  0.01623083 ...  0.01076866  0.00444045
 -0.01848836]",0.2509388283041213
49,49,6 February – Scientists report a new species of mussel named Vadumodiolus teredinicola.,"[-0.00397565  0.00875498  0.01363643 ... -0.00144022  0.01029649
 -0.002612  ]",0.25096887459637496
129,129,"17 May – The world's smallest quantum light detector on a silicon chip is demonstrated, 50 times smaller than their previous version.","[-0.00188076  0.02332278 -0.00532497 ... -0.01798128 -0.00854111
 -0.01192582]",0.2512104102222745
94,94,"4 April – The Dark Energy Spectroscopic Instrument (DESI) project releases multiple papers which report unprecedented measurements of dark energy, find indications that dark energy which is expanding the Universe is evolving over time, and release the most detailed largest 3D cosmic map to date.","[-0.01085248  0.00376144 -0.01362164 ...  0.00213456 -0.00146617
 -0.01058875]",0.25140562245985665
244,244,27 December – 2024 in spaceflight,"[ 0.007628   -0.01591359 -0.02310759 ...  0.01876752  0.0081738
 -0.0163476 ]",0.2515464647576373
141,141,"5 June – Astronomers identify ASKAP J1935+2148, the slowest-spinning neutron star ever recorded, which completes a rotation just once every 54 minutes.","[-0.00634888  0.01333788 -0.00228449 ...  0.01651232  0.0131158
 -0.03516707]",0.2516592683073712
65,65,"23 February – Researchers report studies that, for the first time, measured gravity at microscopic levels.","[-0.00013279  0.00589454  0.00416632 ...  0.00181779 -0.00565239
 -0.0032624 ]",0.2516746416513469
84,84,"27 March – The Event Horizon Telescope team confirms that strong magnetic fields are spiralling at the edge of the Milky Way’s central black hole, Sagittarius A*. A new image released by the team, similar to M87*, suggests that strong magnetic fields may be common to all black holes.","[-0.00481426 -0.01163916 -0.00601202 ...  0.01401478  0.0037824
 -0.01382897]",0.2519721161564875
46,46,5 February – The proposed name Zoozve for Venus' quasi-moon 2002 VE is approved and announced by the International Astronomical Union's Working Group Small Bodies Nomenclature (WGSBN).,"[-0.01017567 -0.00446778 -0.00075161 ...  0.01182469 -0.00399854
 -0.02662566]",0.25305219355435005
108,108,29 April – Physicists outline how a subluminal warp drive that does not require exotic negative energy may be possible.,"[ 0.00241343  0.00598662  0.0007924  ...  0.00964713  0.00355837
 -0.01375902]",0.253321143502667
24,24,"13 January – NASA fully opens the recovered container with samples from the Bennu asteroid, after three months of failed attempts.","[-0.01115337 -0.00468401 -0.01763944 ...  0.00640583  0.0051922
 -0.02207939]",0.25337914922600957
12,12,"11 January – Biologists report the discovery of the oldest known skin, fossilized about 289 million years ago, and possibly the skin from an ancient reptile.","[ 0.01574521  0.00351714  0.01583345 ...  0.01457283 -0.01534181
 -0.02252737]",0.25366821649637805
193,193,"24 September – Researchers at ETH Zurich demonstrate an image-based AI model able to solve Google's reCAPTCHA v2, one of the world's most powerful tools for determining whether a user is human in order to deter bot attacks and spam.","[-0.01583955 -0.00733945 -0.008623   ... -0.00921015 -0.005933
 -0.00165223]",0.254219164423905
154,154,"5 July – The first mouse model with a complete, functional human immune system is demonstrated.","[-0.01310607  0.00431035 -0.01365053 ... -0.0182396   0.01249678
 -0.0122764 ]",0.2542681490032618
169,169,"7 August – Scientists in Australia publish a new 400-year temperature reconstruction for the Coral Sea, showing that recent ocean heat has led to mass bleaching on the Great Barrier Reef.","[-0.01538629 -0.00642299 -0.00390893 ...  0.0018199  -0.00475898
 -0.02515369]",0.2543174524089865
153,153,2 July – The fifth busy beaver is proven.,"[-0.01669818  0.00686306 -0.02224602 ...  0.01100003  0.01777768
 -0.02701497]",0.2553206398648479
211,211,16 October – Researchers at the University of Birmingham Medical School encounter a human cadaver with three penises.,"[-0.00793979  0.00437339  0.01755864 ... -0.00581817  0.01710308
 -0.02975468]",0.2561052482197932
25,25,16 January – The first successful cloning of a rhesus monkey is reported by scientists in China.,"[-0.01336294 -0.00157244 -0.00531216 ... -0.00693397  0.00673974
 -0.01437293]",0.2561806565790097
